index,Lever position (Lp),Ship speed (V) [knots],Gas Turbine shaft torque (GTT) [kN/m],Gas Turbine revolutions (GTn) [rpm],Gas Generator revolutions (GGn) [rpm],Starboard Propeller Torque (Ts) [kN/m],Port Propeller Torque (Tp) [kN/m],HP Turbine exit temperature (T48) [°C],Compressor inlet air temperature (T1) [°C],Compressor outlet air temperature (T2) [°C],HP Turbine exit pressure (P48) [bar],Compressor inlet air pressure (P1) [bar],Compressor outlet air pressure (P2) [bar],Exhaust gas pressure [bar],Turbine Injection Control (TIC) [%],Fuel flow (mf) [kg/s],Compressor decay coefficient,Turbine decay coefficient,Temp_ratio_T48_P48,Temp_ratio_T1_P1,Temp_ratio_T2_P2,Torque_diff,RPM_ratio_GTn_GGn,Fuel_per_RPM,Total_Prop_Torque,Power_Proxy_kW,Total_decay_score
53,7.18,21.0,39924.21,2691.02,9096.29,338.81,338.81,863.75,288.0,705.1,3.01,1.0,15.8,1.04,47.61,0.94,0.95,0.98,286.96,288.0,44.63,0.0,0.3,0.0,677.62,11250760.37,0.07
54,8.22,24.0,54248.45,3108.71,9412.59,471.68,471.68,969.25,288.0,742.81,3.67,1.0,18.93,1.04,66.1,1.32,0.95,0.98,264.1,288.0,39.24,0.0,0.33,0.0,943.36,17660222.14,0.07
55,6.21,18.0,42239.0,2688.41,8614.32,364.81,364.81,865.51,288.0,698.09,3.09,1.0,15.91,1.04,50.94,1.07,0.95,0.98,280.1,288.0,43.88,0.0,0.31,0.0,729.62,11891530.33,0.07
56,4.18,12.0,27507.67,2113.78,7786.2,227.45,227.45,759.66,288.0,644.42,2.34,1.0,12.13,1.03,35.86,0.76,0.95,0.98,324.64,288.0,53.13,0.0,0.27,0.0,454.9,6088947.2,0.07
57,2.12,6.0,6045.28,1389.23,6901.17,32.62,32.62,589.57,288.0,577.19,1.31,1.0,7.09,1.02,9.86,0.23,0.95,0.98,450.05,288.0,81.41,0.0,0.2,0.0,65.24,879466.28,0.07
58,3.13,9.0,9969.62,1432.66,7256.04,66.69,66.69,628.83,288.0,593.16,1.46,1.0,7.89,1.02,15.81,0.3,0.95,0.98,430.71,288.0,75.18,0.0,0.2,0.0,133.38,1495720.2,0.07
59,4.15,12.0,14914.14,1619.52,7810.78,116.5,116.5,660.88,288.0,614.7,1.71,1.0,9.2,1.02,18.92,0.37,0.95,0.98,386.48,288.0,66.82,0.0,0.21,0.0,233.0,2529374.58,0.07
60,5.16,15.0,22052.39,1926.37,8379.86,178.48,178.48,725.09,288.0,644.15,2.08,1.0,11.12,1.03,26.4,0.52,0.95,0.98,348.6,288.0,57.93,0.0,0.23,0.0,356.96,4448606.46,0.07
61,6.15,18.0,30137.38,2303.25,8823.43,251.24,251.24,789.24,288.0,672.83,2.51,1.0,13.33,1.03,35.58,0.7,0.95,0.98,314.44,288.0,50.47,0.0,0.26,0.0,502.48,7269008.76,0.07
62,7.18,21.0,39924.2,2691.02,9096.93,338.81,338.81,862.68,288.0,704.91,3.01,1.0,15.78,1.04,47.52,0.94,0.95,0.98,286.6,288.0,44.67,0.0,0.3,0.0,677.62,11250757.55,0.07
63,8.22,24.0,54248.58,3108.71,9413.14,471.64,471.64,968.26,288.0,742.65,3.67,1.0,18.91,1.04,66.04,1.31,0.95,0.98,263.83,288.0,39.27,0.0,0.33,0.0,943.28,17660264.46,0.07
64,6.21,18.0,42513.54,2688.98,8616.11,364.85,364.85,872.94,288.0,699.24,3.1,1.0,15.95,1.04,50.91,1.08,0.95,0.98,281.59,288.0,43.84,0.0,0.31,0.0,729.7,11971359.12,0.07
65,4.18,12.0,27716.41,2112.74,7787.74,227.18,227.18,765.85,288.0,645.3,2.35,1.0,12.16,1.03,36.58,0.76,0.95,0.98,325.89,288.0,53.07,0.0,0.27,0.0,454.36,6132134.19,0.07
66,2.12,6.0,6253.82,1388.19,6903.31,32.37,32.37,595.78,288.0,578.06,1.31,1.0,7.12,1.02,10.57,0.24,0.95,0.98,454.79,288.0,81.19,0.0,0.2,0.0,64.74,909123.55,0.07
67,3.13,9.0,9903.9,1431.05,7257.44,66.4,66.4,626.66,288.0,592.74,1.45,1.0,7.87,1.02,16.51,0.3,0.95,0.98,432.18,288.0,75.32,0.0,0.2,0.0,132.8,1484190.59,0.07
68,4.15,12.0,14914.24,1619.52,7812.62,116.48,116.48,659.98,288.0,614.53,1.71,1.0,9.19,1.02,18.88,0.37,0.95,0.98,385.95,288.0,66.87,0.0,0.21,0.0,232.96,2529391.54,0.07
69,5.16,15.0,22052.55,1926.37,8381.18,178.44,178.44,724.1,288.0,643.96,2.08,1.0,11.11,1.03,26.34,0.52,0.95,0.98,348.12,288.0,57.96,0.0,0.23,0.0,356.88,4448638.74,0.07
70,6.15,18.0,30137.38,2303.24,8824.24,251.23,251.23,788.19,288.0,672.64,2.51,1.0,13.31,1.03,35.51,0.7,0.95,0.98,314.02,288.0,50.54,0.0,0.26,0.0,502.46,7268977.2,0.07
71,7.18,21.0,39924.15,2691.01,9097.56,338.81,338.81,861.63,288.0,704.73,3.01,1.0,15.77,1.04,47.44,0.94,0.95,0.98,286.26,288.0,44.69,0.0,0.3,0.0,677.62,11250701.65,0.07
72,8.22,24.0,54248.6,3108.72,9413.68,471.72,471.72,967.27,288.0,742.49,3.67,1.0,18.89,1.04,65.98,1.31,0.95,0.98,263.56,288.0,39.31,0.0,0.33,0.0,943.44,17660327.78,0.07
73,6.21,18.0,42606.66,2688.65,8617.19,364.88,364.88,874.94,288.0,699.46,3.1,1.0,15.94,1.04,50.88,1.08,0.95,0.98,282.24,288.0,43.88,0.0,0.31,0.0,729.76,11996108.34,0.07
74,4.18,12.0,27795.01,2112.18,7789.41,227.17,227.17,767.57,288.0,645.46,2.35,1.0,12.16,1.03,36.65,0.77,0.95,0.98,326.63,288.0,53.08,0.0,0.27,0.0,454.34,6147894.11,0.07
75,2.12,6.0,6332.3,1387.63,6905.59,32.31,32.31,597.53,288.0,578.23,1.32,1.0,7.13,1.02,10.63,0.24,0.95,0.98,452.67,288.0,81.1,0.0,0.2,0.0,64.62,920160.91,0.07
76,3.13,9.0,9889.41,1430.82,7259.69,66.36,66.36,625.48,288.0,592.52,1.45,1.0,7.86,1.02,16.55,0.3,0.95,0.98,431.37,288.0,75.38,0.0,0.2,0.0,132.72,1481780.93,0.07
77,4.15,12.0,14914.38,1619.52,7814.46,116.5,116.5,659.08,288.0,614.37,1.71,1.0,9.18,1.02,18.83,0.37,0.95,0.98,385.43,288.0,66.92,0.0,0.21,0.0,233.0,2529415.28,0.07
78,5.16,15.0,22052.77,1926.37,8382.51,178.46,178.46,723.1,288.0,643.77,2.08,1.0,11.1,1.03,26.29,0.52,0.95,0.98,347.64,288.0,58.0,0.0,0.23,0.0,356.92,4448683.12,0.07
79,6.15,18.0,30137.48,2303.24,8825.06,251.21,251.21,787.15,288.0,672.44,2.51,1.0,13.3,1.03,35.44,0.7,0.95,0.98,313.61,288.0,50.56,0.0,0.26,0.0,502.42,7269001.31,0.07
80,7.18,21.0,39924.13,2691.01,9098.19,338.77,338.77,860.57,288.0,704.54,3.01,1.0,15.75,1.04,47.36,0.94,0.95,0.98,285.9,288.0,44.73,0.0,0.3,0.0,677.54,11250696.02,0.07
81,8.22,24.0,54248.53,3108.72,9414.22,471.69,471.69,966.29,288.0,742.33,3.67,1.0,18.86,1.04,65.92,1.31,0.95,0.98,263.29,288.0,39.36,0.0,0.33,0.0,943.38,17660304.99,0.07
82,6.21,18.0,43072.08,2685.3,8616.5,364.69,364.69,887.62,288.0,701.18,3.12,1.0,16.01,1.04,50.84,1.1,0.95,0.98,284.49,288.0,43.8,0.0,0.31,0.0,729.38,12112039.39,0.07
83,4.18,12.0,28236.66,2108.33,7789.14,226.9,226.9,779.8,288.0,647.09,2.36,1.0,12.23,1.03,36.8,0.78,0.95,0.98,330.42,288.0,52.91,0.0,0.27,0.0,453.8,6234197.13,0.07
84,2.12,6.0,6773.9,1383.78,6905.94,32.01,32.01,609.79,288.0,579.85,1.33,1.0,7.2,1.02,10.77,0.26,0.95,0.98,458.49,288.0,80.53,0.0,0.2,0.0,64.02,981599.77,0.07
85,3.13,9.0,9865.67,1430.32,7261.77,66.26,66.26,624.12,288.0,592.27,1.45,1.0,7.85,1.02,16.68,0.29,0.95,0.98,430.43,288.0,75.45,0.0,0.2,0.0,132.52,1477707.28,0.07
86,4.15,12.0,14914.48,1619.52,7816.31,116.49,116.49,658.19,288.0,614.2,1.71,1.0,9.18,1.02,18.79,0.37,0.95,0.98,384.91,288.0,66.91,0.0,0.21,0.0,232.98,2529432.24,0.07
87,5.16,15.0,22052.93,1926.37,8383.83,178.48,178.48,722.11,288.0,643.58,2.08,1.0,11.08,1.03,26.23,0.52,0.95,0.98,347.17,288.0,58.08,0.0,0.23,0.0,356.96,4448715.4,0.07
88,6.15,18.0,30137.47,2303.24,8825.88,251.27,251.27,786.12,288.0,672.25,2.51,1.0,13.28,1.03,35.37,0.7,0.95,0.98,313.2,288.0,50.62,0.0,0.26,0.0,502.54,7268998.9,0.07
89,7.18,21.0,39924.03,2691.01,9098.82,338.86,338.86,859.52,288.0,704.36,3.01,1.0,15.73,1.04,47.27,0.94,0.95,0.98,285.55,288.0,44.78,0.0,0.3,0.0,677.72,11250667.84,0.07
90,8.22,24.0,54248.99,3108.71,9414.76,471.71,471.71,965.31,288.0,742.18,3.67,1.0,18.84,1.04,65.86,1.31,0.95,0.98,263.03,288.0,39.39,0.0,0.33,0.0,943.42,17660397.94,0.07
91,6.21,18.0,43357.31,2681.68,8615.58,364.45,364.45,894.89,288.0,702.06,3.12,1.0,16.04,1.04,50.81,1.1,0.95,0.98,286.82,288.0,43.77,0.0,0.31,0.0,728.9,12175811.07,0.07
92,4.18,12.0,28498.18,2104.4,7788.76,226.59,226.59,786.62,288.0,647.89,2.37,1.0,12.26,1.03,37.04,0.79,0.95,0.98,331.91,288.0,52.85,0.0,0.27,0.0,453.18,6280208.12,0.07
93,2.12,6.0,7034.81,1379.85,6906.17,31.75,31.75,616.62,288.0,580.65,1.34,1.0,7.24,1.02,11.0,0.27,0.95,0.98,460.16,288.0,80.2,0.0,0.2,0.0,63.5,1016512.84,0.07
94,3.13,9.0,9842.0,1430.01,7263.98,66.21,66.21,622.74,288.0,592.04,1.45,1.0,7.84,1.02,16.9,0.29,0.95,0.98,429.48,288.0,75.52,0.0,0.2,0.0,132.42,1473842.42,0.07
95,4.15,12.0,14914.63,1619.52,7818.16,116.5,116.5,657.3,288.0,614.04,1.71,1.0,9.17,1.02,18.75,0.37,0.95,0.98,384.39,288.0,66.96,0.0,0.21,0.0,233.0,2529457.68,0.07
96,5.16,15.0,22053.17,1926.36,8385.16,178.46,178.46,721.12,288.0,643.4,2.08,1.0,11.07,1.03,26.17,0.52,0.95,0.98,346.69,288.0,58.12,0.0,0.23,0.0,356.92,4448740.72,0.07
97,6.15,18.0,30137.46,2303.24,8826.7,251.21,251.21,785.08,288.0,672.06,2.51,1.0,13.27,1.03,35.3,0.7,0.95,0.98,312.78,288.0,50.65,0.0,0.26,0.0,502.42,7268996.49,0.07
98,7.18,21.0,39923.93,2691.0,9099.46,338.76,338.76,858.46,288.0,704.17,3.01,1.0,15.71,1.04,47.19,0.93,0.95,0.98,285.2,288.0,44.82,0.0,0.3,0.0,677.52,11250597.85,0.07
99,8.22,24.0,54249.12,3108.71,9415.3,471.62,471.62,964.34,288.0,742.02,3.67,1.0,18.82,1.04,65.8,1.31,0.95,0.98,262.76,288.0,39.43,0.0,0.33,0.0,943.24,17660440.26,0.07
100,6.21,18.0,43698.27,2674.35,8612.37,363.97,363.97,904.96,288.0,702.92,3.13,1.0,16.07,1.04,52.44,1.12,0.95,0.99,289.12,288.0,43.74,0.0,0.31,0.0,727.94,12238018.51,0.06
101,4.18,12.0,28802.48,2096.59,7786.0,226.04,226.04,795.87,288.0,648.61,2.37,1.0,12.29,1.03,38.84,0.8,0.95,0.99,335.81,288.0,52.78,0.0,0.27,0.0,452.08,6323710.97,0.06
102,2.12,6.0,7338.79,1372.03,6904.01,31.22,31.22,625.9,288.0,581.36,1.34,1.0,7.27,1.02,12.79,0.28,0.95,0.99,467.09,288.0,79.97,0.0,0.2,0.0,62.44,1054427.41,0.06
103,3.13,9.0,9805.37,1429.53,7266.08,66.12,66.12,621.03,288.0,591.74,1.45,1.0,7.82,1.02,17.01,0.29,0.95,0.99,428.3,288.0,75.67,0.0,0.2,0.0,132.24,1467864.2,0.06
104,4.15,12.0,14914.76,1619.52,7820.0,116.48,116.48,656.4,288.0,613.88,1.71,1.0,9.16,1.02,18.7,0.37,0.95,0.99,383.86,288.0,67.02,0.0,0.21,0.0,232.96,2529479.73,0.06
105,5.16,15.0,22053.36,1926.36,8386.49,178.47,178.47,720.14,288.0,643.21,2.08,1.0,11.06,1.03,26.12,0.52,0.95,0.99,346.22,288.0,58.16,0.0,0.23,0.0,356.94,4448779.05,0.06
106,6.15,18.0,30137.49,2303.23,8827.52,251.26,251.26,784.04,288.0,671.87,2.51,1.0,13.26,1.03,35.23,0.7,0.95,0.99,312.37,288.0,50.67,0.0,0.26,0.0,502.52,7268972.17,0.06
107,7.18,21.0,39923.86,2691.0,9100.09,338.82,338.82,857.41,288.0,703.99,3.01,1.0,15.7,1.04,47.11,0.93,0.95,0.99,284.85,288.0,44.84,0.0,0.3,0.0,677.64,11250578.12,0.06
108,8.22,24.0,54249.07,3108.71,9415.84,471.65,471.65,963.36,288.0,741.86,3.67,1.0,18.8,1.04,65.74,1.3,0.95,0.99,262.5,288.0,39.46,0.0,0.33,0.0,943.3,17660423.98,0.06
109,6.21,18.0,43742.06,2670.5,8611.19,363.75,363.75,906.26,288.0,702.83,3.13,1.0,16.05,1.04,54.54,1.12,0.95,0.99,289.54,288.0,43.79,0.0,0.31,0.0,727.5,12232646.69,0.06
110,4.18,12.0,28772.74,2091.88,7785.01,225.66,225.66,795.51,288.0,648.24,2.37,1.0,12.26,1.03,41.28,0.8,0.95,0.99,335.66,288.0,52.87,0.0,0.27,0.0,451.32,6302989.84,0.06
111,2.12,6.0,7308.96,1367.32,6903.64,30.85,30.85,625.56,288.0,580.99,1.34,1.0,7.25,1.02,15.22,0.28,0.95,0.99,466.84,288.0,80.14,0.0,0.2,0.0,61.7,1046536.47,0.06
112,3.13,9.0,9731.85,1428.67,7267.94,65.97,65.97,618.47,288.0,591.3,1.45,1.0,7.8,1.02,17.29,0.29,0.95,0.99,426.53,288.0,75.81,0.0,0.2,0.0,131.94,1455981.81,0.06
113,4.15,12.0,14914.83,1619.52,7821.85,116.51,116.51,655.52,288.0,613.71,1.71,1.0,9.15,1.02,18.66,0.37,0.95,0.99,383.35,288.0,67.07,0.0,0.21,0.0,233.02,2529491.6,0.06
114,5.16,15.0,22053.48,1926.36,8387.81,178.47,178.47,719.15,288.0,643.02,2.08,1.0,11.05,1.03,26.06,0.52,0.95,0.99,345.75,288.0,58.19,0.0,0.23,0.0,356.94,4448803.26,0.06
