id,lp,v,gtt,gtn,ggn,ts,tp,t48,t1,t2,p48,p1,p2,pexh,tic,mf,decay_coeff_comp,decay_coeff_turbine,temp_ratio_t48_p48,temp_ratio_t1_p1,temp_ratio_t2_p2,torque_diff,rpm_ratio_gtn_ggn,fuel_per_rpm,total_prop_torque,power_proxy_kw,total_decay_score
11,6.2,18.0,40777.19,2624.12,8589.05,354.0,354.0,852.26,288.0,692.69,3.02,1.0,15.62,1.04,51.54,1.04,0.95,0.98,282.21,288.0,44.35,0.0,0.31,0.0,708.0,11205457.79,0.07
12,4.17,12.0,24442.31,2045.01,7744.29,207.42,207.42,716.98,288.0,635.92,2.21,1.0,11.58,1.03,32.71,0.66,0.95,0.98,324.43,288.0,54.92,0.0,0.26,0.0,414.84,5234392.7,0.07
13,3.14,9.0,13990.42,1634.22,7295.01,108.61,108.61,646.96,288.0,602.66,1.68,1.0,8.97,1.02,20.13,0.41,0.95,0.98,385.1,288.0,67.19,0.0,0.22,0.0,217.22,2394252.18,0.07
14,3.13,9.0,10060.22,1475.42,7307.66,71.86,71.86,622.56,288.0,594.34,1.48,1.0,8.04,1.02,14.56,0.3,0.95,0.98,420.65,288.0,73.92,0.0,0.2,0.0,143.72,1554360.54,0.07
15,4.15,12.0,15663.1,1660.43,7806.89,120.72,120.72,676.48,288.0,618.27,1.75,1.0,9.46,1.02,20.15,0.4,0.95,0.98,386.56,288.0,65.36,0.0,0.21,0.0,241.44,2723497.06,0.07
16,5.15,15.0,22367.4,1949.72,8331.39,182.08,182.08,730.01,288.0,644.81,2.1,1.0,11.28,1.03,27.25,0.54,0.95,0.98,347.62,288.0,57.16,0.0,0.23,0.0,364.16,4566846.02,0.07
17,6.16,18.0,30704.23,2306.89,8762.11,256.2,256.2,797.55,288.0,674.92,2.53,1.0,13.48,1.03,36.85,0.73,0.95,0.98,315.24,288.0,50.07,0.0,0.26,0.0,512.4,7417434.42,0.07
18,7.18,21.0,41436.27,2700.99,9107.83,353.97,353.97,878.58,288.0,707.7,3.07,1.0,16.1,1.03,50.07,0.99,0.95,0.98,286.18,288.0,43.96,0.0,0.3,0.0,707.94,11720125.13,0.07
19,7.2,21.0,45225.39,2824.33,9034.28,391.53,391.53,895.93,288.0,714.62,3.25,1.0,16.9,1.04,55.12,1.11,0.95,0.98,275.67,288.0,42.29,0.0,0.31,0.0,783.06,13376003.62,0.07
20,6.2,18.0,40859.41,2627.7,8592.75,354.25,354.25,853.66,288.0,693.04,3.02,1.0,15.62,1.04,50.7,1.04,0.95,0.98,282.67,288.0,44.37,0.0,0.31,0.0,708.5,11243369.68,0.07
21,4.17,12.0,24565.14,2050.32,7749.86,207.72,207.72,719.61,288.0,636.52,2.22,1.0,11.6,1.03,31.5,0.67,0.95,0.98,324.15,288.0,54.87,0.0,0.26,0.0,415.44,5274356.85,0.07
22,3.14,9.0,14070.92,1637.59,7299.63,108.78,108.78,648.44,288.0,603.01,1.68,1.0,8.98,1.02,19.39,0.42,0.95,0.98,385.98,288.0,67.15,0.0,0.22,0.0,217.56,2412994.26,0.07
23,3.13,9.0,10100.11,1477.06,7311.05,71.93,71.93,622.87,288.0,594.42,1.48,1.0,8.05,1.02,14.19,0.3,0.95,0.98,420.86,288.0,73.84,0.0,0.2,0.0,143.86,1562258.37,0.07
24,4.15,12.0,15662.41,1660.33,7808.66,120.68,120.68,675.55,288.0,618.1,1.75,1.0,9.45,1.02,20.16,0.4,0.95,0.98,386.03,288.0,65.41,0.0,0.21,0.0,241.36,2723213.06,0.07
25,5.15,15.0,22367.51,1949.72,8332.72,182.04,182.04,729.02,288.0,644.63,2.1,1.0,11.26,1.03,27.2,0.54,0.95,0.98,347.15,288.0,57.25,0.0,0.23,0.0,364.08,4566868.48,0.07
26,6.16,18.0,30704.32,2306.89,8763.04,256.15,256.15,796.5,288.0,674.73,2.53,1.0,13.46,1.03,36.78,0.73,0.95,0.98,314.82,288.0,50.13,0.0,0.26,0.0,512.3,7417456.16,0.07
27,7.18,21.0,41436.4,2700.99,9108.5,353.93,353.93,877.54,288.0,707.52,3.07,1.0,16.08,1.04,50.0,0.99,0.95,0.98,285.84,288.0,44.0,0.0,0.3,0.0,707.86,11720161.9,0.07
28,7.2,21.0,45291.08,2826.53,9036.62,391.67,391.67,896.91,288.0,714.85,3.25,1.0,16.9,1.04,55.06,1.11,0.95,0.98,275.97,288.0,42.3,0.0,0.31,0.0,783.34,13405866.62,0.07
29,6.2,18.0,40983.22,2631.62,8596.77,354.46,354.46,856.63,288.0,693.65,3.02,1.0,15.63,1.04,50.9,1.04,0.95,0.98,283.65,288.0,44.38,0.0,0.31,0.0,708.92,11294262.4,0.07
30,4.17,12.0,24746.89,2055.96,7755.78,207.96,207.96,724.53,288.0,637.51,2.23,1.0,11.63,1.03,31.95,0.67,0.95,0.98,324.9,288.0,54.82,0.0,0.27,0.0,415.92,5327996.2,0.07
31,3.14,9.0,14179.76,1640.57,7304.12,108.78,108.78,651.34,288.0,603.55,1.69,1.0,8.99,1.02,20.08,0.42,0.95,0.98,385.41,288.0,67.14,0.0,0.22,0.0,217.56,2436084.03,0.07
32,3.13,9.0,10150.83,1478.31,7314.26,71.88,71.88,623.84,288.0,594.6,1.49,1.0,8.05,1.02,14.64,0.3,0.95,0.98,418.68,288.0,73.86,0.0,0.2,0.0,143.76,1571432.34,0.07
33,4.15,12.0,15655.14,1659.86,7810.22,120.61,120.61,674.56,288.0,617.89,1.75,1.0,9.43,1.02,20.35,0.4,0.95,0.98,385.46,288.0,65.52,0.0,0.21,0.0,241.22,2721178.51,0.07
34,5.15,15.0,22367.59,1949.72,8334.04,182.07,182.07,728.03,288.0,644.44,2.1,1.0,11.25,1.03,27.14,0.54,0.95,0.98,346.68,288.0,57.28,0.0,0.23,0.0,364.14,4566884.82,0.07
35,6.16,18.0,30704.4,2306.89,8763.97,256.19,256.19,795.46,288.0,674.53,2.53,1.0,13.45,1.03,36.71,0.73,0.95,0.98,314.41,288.0,50.15,0.0,0.26,0.0,512.38,7417475.48,0.07
36,7.18,21.0,41436.5,2700.99,9109.17,353.96,353.96,876.5,288.0,707.33,3.07,1.0,16.06,1.04,49.93,0.99,0.95,0.98,285.5,288.0,44.04,0.0,0.3,0.0,707.92,11720190.19,0.07
37,7.2,21.0,45346.24,2827.88,9038.37,391.74,391.74,897.62,288.0,715.0,3.26,1.0,16.89,1.04,55.0,1.11,0.95,0.98,275.34,288.0,42.33,0.0,0.31,0.0,783.48,13428604.3,0.07
38,6.2,18.0,41087.93,2634.02,8599.73,354.55,354.55,859.03,288.0,694.1,3.03,1.0,15.64,1.04,51.01,1.04,0.95,0.98,283.51,288.0,44.38,0.0,0.31,0.0,709.1,11333445.18,0.07
39,4.17,12.0,24901.0,2059.43,7760.18,208.08,208.08,728.62,288.0,638.25,2.23,1.0,11.65,1.03,32.22,0.68,0.95,0.98,326.74,288.0,54.79,0.0,0.27,0.0,416.16,5370224.49,0.07
40,3.14,9.0,14273.35,1642.4,7307.79,108.79,108.79,653.68,288.0,603.95,1.69,1.0,9.0,1.02,20.49,0.42,0.95,0.98,386.79,288.0,67.11,0.0,0.22,0.0,217.58,2454898.1,0.07
41,3.13,9.0,10194.92,1479.09,7317.12,71.86,71.86,624.53,288.0,594.7,1.49,1.0,8.05,1.02,14.89,0.3,0.95,0.98,419.15,288.0,73.88,0.0,0.2,0.0,143.72,1579090.57,0.07
42,4.15,12.0,15649.83,1659.58,7811.9,120.55,120.55,673.56,288.0,617.69,1.75,1.0,9.42,1.02,20.45,0.4,0.95,0.98,384.89,288.0,65.57,0.0,0.21,0.0,241.1,2719796.65,0.07
43,5.15,15.0,22367.77,1949.72,8335.37,182.05,182.05,727.04,288.0,644.26,2.1,1.0,11.24,1.03,27.08,0.54,0.95,0.98,346.21,288.0,57.32,0.0,0.23,0.0,364.1,4566921.57,0.07
44,6.16,18.0,30704.52,2306.88,8764.89,256.16,256.16,794.41,288.0,674.35,2.53,1.0,13.44,1.03,36.64,0.72,0.95,0.98,314.0,288.0,50.17,0.0,0.26,0.0,512.32,7417472.32,0.07
45,7.18,21.0,41436.65,2700.99,9109.83,353.9,353.9,875.46,288.0,707.16,3.07,1.0,16.04,1.04,49.86,0.99,0.95,0.98,285.17,288.0,44.09,0.0,0.3,0.0,707.8,11720232.61,0.07
46,7.2,21.0,45387.84,2828.59,9039.68,391.72,391.72,897.92,288.0,715.07,3.26,1.0,16.88,1.04,54.94,1.11,0.95,0.98,275.44,288.0,42.36,0.0,0.31,0.0,783.44,13444298.14,0.07
47,6.2,18.0,41170.16,2635.5,8602.02,354.58,354.58,860.65,288.0,694.41,3.03,1.0,15.64,1.04,50.94,1.04,0.95,0.98,284.04,288.0,44.4,0.0,0.31,0.0,709.16,11362507.77,0.07
48,4.17,12.0,25023.63,2061.67,7763.69,208.2,208.2,731.54,288.0,638.79,2.24,1.0,11.67,1.03,32.12,0.68,0.95,0.98,326.58,288.0,54.74,0.0,0.27,0.0,416.4,5402541.1,0.07
49,3.14,9.0,14353.68,1644.0,7311.21,108.89,108.89,655.28,288.0,604.26,1.7,1.0,9.01,1.02,20.36,0.43,0.95,0.98,385.46,288.0,67.07,0.0,0.22,0.0,217.78,2471119.18,0.07
50,3.13,9.0,10234.6,1479.92,7319.96,71.93,71.93,624.87,288.0,594.77,1.49,1.0,8.05,1.02,14.79,0.3,0.95,0.98,419.38,288.0,73.88,0.0,0.2,0.0,143.86,1586126.17,0.07
51,4.15,12.0,15649.02,1659.64,7813.78,120.57,120.57,672.59,288.0,617.52,1.75,1.0,9.41,1.02,20.37,0.4,0.95,0.98,384.34,288.0,65.62,0.0,0.21,0.0,241.14,2719754.21,0.07
52,5.15,15.0,22367.75,1949.72,8336.69,182.07,182.07,726.05,288.0,644.07,2.1,1.0,11.23,1.03,27.03,0.54,0.95,0.98,345.74,288.0,57.35,0.0,0.23,0.0,364.14,4566917.48,0.07
53,6.16,18.0,30704.52,2306.88,8765.81,256.17,256.17,793.37,288.0,674.15,2.53,1.0,13.42,1.03,36.57,0.72,0.95,0.98,313.58,288.0,50.23,0.0,0.26,0.0,512.34,7417472.32,0.07
54,7.18,21.0,41436.63,2700.99,9110.5,353.91,353.91,874.43,288.0,706.98,3.06,1.0,16.02,1.04,49.79,0.99,0.95,0.98,285.76,288.0,44.13,0.0,0.3,0.0,707.82,11720226.96,0.07
55,7.2,21.0,45470.55,2829.38,9041.07,391.77,391.77,899.5,288.0,715.33,3.26,1.0,16.88,1.04,54.88,1.11,0.95,0.98,275.92,288.0,42.38,0.0,0.31,0.0,783.54,13472559.32,0.07
56,6.2,18.0,41331.71,2636.97,8604.37,354.65,354.65,864.81,288.0,695.11,3.03,1.0,15.66,1.04,50.97,1.05,0.95,0.98,285.42,288.0,44.39,0.0,0.31,0.0,709.3,11413456.3,0.07
57,4.17,12.0,25263.98,2063.81,7767.23,208.29,208.29,738.25,288.0,639.9,2.25,1.0,11.71,1.03,32.22,0.69,0.95,0.98,328.11,288.0,54.65,0.0,0.27,0.0,416.58,5460093.75,0.07
58,3.14,9.0,14507.52,1645.22,7314.47,108.92,108.92,659.35,288.0,604.92,1.7,1.0,9.04,1.02,20.51,0.43,0.95,0.98,387.85,288.0,66.92,0.0,0.22,0.0,217.84,2499457.61,0.07
59,3.13,9.0,10309.68,1480.47,7322.66,71.94,71.94,626.43,288.0,595.02,1.49,1.0,8.06,1.02,14.86,0.3,0.95,0.98,420.42,288.0,73.82,0.0,0.2,0.0,143.88,1598355.63,0.07
60,4.15,12.0,15645.38,1659.52,7815.56,120.56,120.56,671.6,288.0,617.34,1.75,1.0,9.4,1.02,20.38,0.4,0.95,0.98,383.77,288.0,65.67,0.0,0.21,0.0,241.12,2718924.98,0.07
61,5.15,15.0,22367.97,1949.71,8338.02,182.07,182.07,725.07,288.0,643.89,2.1,1.0,11.22,1.03,26.97,0.53,0.95,0.98,345.27,288.0,57.39,0.0,0.23,0.0,364.14,4566938.98,0.07
62,6.16,18.0,30704.66,2306.88,8766.74,256.18,256.18,792.34,288.0,673.96,2.53,1.0,13.41,1.03,36.5,0.72,0.95,0.98,313.18,288.0,50.26,0.0,0.26,0.0,512.36,7417506.14,0.07
63,7.18,21.0,41436.72,2700.99,9111.17,353.9,353.9,873.39,288.0,706.8,3.06,1.0,16.01,1.04,49.71,0.98,0.95,0.98,285.42,288.0,44.15,0.0,0.3,0.0,707.8,11720252.41,0.07
64,7.2,21.0,45562.11,2829.57,9042.06,391.77,391.77,901.29,288.0,715.6,3.26,1.0,16.88,1.04,54.82,1.11,0.95,0.98,276.47,288.0,42.39,0.0,0.31,0.0,783.54,13500594.36,0.07
65,6.2,18.0,41492.84,2636.81,8605.66,354.56,354.56,869.02,288.0,695.73,3.04,1.0,15.67,1.04,51.18,1.05,0.95,0.98,285.86,288.0,44.4,0.0,0.31,0.0,709.12,11457255.98,0.07
66,4.17,12.0,25494.59,2063.3,7769.05,208.13,208.13,744.86,288.0,640.87,2.25,1.0,11.74,1.03,32.69,0.69,0.95,0.98,331.05,288.0,54.59,0.0,0.27,0.0,416.26,5508571.97,0.07
67,3.14,9.0,14624.71,1643.99,7316.16,108.65,108.65,662.76,288.0,605.37,1.7,1.0,9.05,1.02,21.22,0.43,0.95,0.98,389.86,288.0,66.89,0.0,0.22,0.0,217.3,2517764.19,0.07
68,3.13,9.0,10357.32,1479.59,7324.46,71.75,71.75,627.47,288.0,595.11,1.49,1.0,8.06,1.02,15.32,0.3,0.95,0.98,421.12,288.0,73.83,0.0,0.2,0.0,143.5,1604787.01,0.07
69,4.15,12.0,15623.56,1658.98,7817.08,120.44,120.44,670.25,288.0,617.08,1.75,1.0,9.39,1.02,20.58,0.4,0.95,0.98,383.0,288.0,65.72,0.0,0.21,0.0,240.88,2714249.51,0.07
70,5.15,15.0,22368.06,1949.71,8339.35,182.05,182.05,724.09,288.0,643.71,2.1,1.0,11.2,1.03,26.91,0.53,0.95,0.98,344.8,288.0,57.47,0.0,0.23,0.0,364.1,4566957.35,0.07
71,6.16,18.0,30704.69,2306.87,8767.66,256.16,256.16,791.31,288.0,673.78,2.53,1.0,13.4,1.03,36.43,0.72,0.95,0.98,312.77,288.0,50.28,0.0,0.26,0.0,512.32,7417481.23,0.07
72,7.18,21.0,41436.71,2700.99,9111.83,353.92,353.92,872.36,288.0,706.62,3.06,1.0,15.99,1.04,49.64,0.98,0.95,0.98,285.08,288.0,44.19,0.0,0.3,0.0,707.84,11720249.58,0.07
73,7.2,21.0,45593.14,2829.46,9042.81,391.8,391.8,901.28,288.0,715.56,3.26,1.0,16.87,1.04,54.77,1.11,0.95,0.98,276.47,288.0,42.42,0.0,0.31,0.0,783.6,13509263.72,0.07
74,6.2,18.0,41550.09,2636.52,8606.76,354.59,354.59,869.93,288.0,695.8,3.04,1.0,15.66,1.04,51.17,1.05,0.95,0.98,286.16,288.0,44.43,0.0,0.31,0.0,709.18,11471802.38,0.07
75,4.17,12.0,25577.99,2062.82,7770.73,208.12,208.12,746.68,288.0,641.05,2.26,1.0,11.74,1.03,32.72,0.7,0.95,0.98,330.39,288.0,54.6,0.0,0.27,0.0,416.24,5525306.38,0.07
76,3.14,9.0,14672.24,1643.54,7318.23,108.61,108.61,663.53,288.0,605.4,1.71,1.0,9.05,1.02,21.28,0.44,0.95,0.98,388.03,288.0,66.9,0.0,0.22,0.0,217.22,2525255.46,0.07
77,3.13,9.0,10378.7,1479.32,7326.58,71.72,71.72,627.36,288.0,595.04,1.49,1.0,8.06,1.02,15.34,0.3,0.95,0.98,421.05,288.0,73.83,0.0,0.2,0.0,143.44,1607806.22,0.07
78,4.15,12.0,15618.85,1658.9,7818.89,120.44,120.44,669.22,288.0,616.89,1.75,1.0,9.38,1.02,20.56,0.4,0.95,0.98,382.41,288.0,65.77,0.0,0.21,0.0,240.88,2713300.4,0.07
79,5.15,15.0,22368.21,1949.71,8340.68,182.06,182.06,723.11,288.0,643.53,2.1,1.0,11.19,1.03,26.85,0.53,0.95,0.98,344.34,288.0,57.51,0.0,0.23,0.0,364.12,4566987.98,0.07
80,6.16,18.0,30704.79,2306.87,8768.59,256.15,256.15,790.27,288.0,673.58,2.53,1.0,13.38,1.03,36.36,0.72,0.95,0.98,312.36,288.0,50.34,0.0,0.26,0.0,512.3,7417505.39,0.07
81,7.18,21.0,41436.71,2700.99,9112.49,353.89,353.89,871.34,288.0,706.44,3.06,1.0,15.97,1.04,49.57,0.98,0.95,0.98,284.75,288.0,44.24,0.0,0.3,0.0,707.78,11720249.58,0.07
82,7.2,21.0,45748.25,2828.34,9042.97,391.72,391.72,904.83,288.0,716.02,3.27,1.0,16.87,1.04,54.71,1.12,0.95,0.98,276.71,288.0,42.44,0.0,0.31,0.0,783.44,13549857.23,0.07
83,6.2,18.0,41852.42,2634.12,8606.62,354.43,354.43,877.9,288.0,696.87,3.05,1.0,15.7,1.04,51.19,1.06,0.95,0.98,287.84,288.0,44.39,0.0,0.31,0.0,708.86,11544755.74,0.07
84,4.17,12.0,26027.55,2059.14,7770.53,207.87,207.87,759.07,288.0,642.71,2.27,1.0,11.81,1.03,32.8,0.71,0.95,0.98,334.39,288.0,54.42,0.0,0.26,0.0,415.74,5612389.23,0.07
85,3.14,9.0,14958.74,1640.81,7318.95,108.39,108.39,671.24,288.0,606.4,1.71,1.0,9.09,1.02,21.42,0.44,0.95,0.98,392.54,288.0,66.71,0.0,0.22,0.0,216.78,2570288.81,0.07
86,3.13,9.0,10518.02,1477.87,7328.01,71.59,71.59,630.7,288.0,595.44,1.5,1.0,8.08,1.02,15.41,0.31,0.95,0.98,420.47,288.0,73.69,0.0,0.2,0.0,143.18,1627791.75,0.07
87,4.15,12.0,15611.03,1658.74,7820.64,120.41,120.41,668.14,288.0,616.68,1.75,1.0,9.37,1.02,20.57,0.39,0.95,0.98,381.79,288.0,65.81,0.0,0.21,0.0,240.82,2711680.35,0.07
88,5.15,15.0,22368.29,1949.71,8342.01,182.08,182.08,722.14,288.0,643.34,2.1,1.0,11.18,1.03,26.8,0.53,0.95,0.98,343.88,288.0,57.54,0.0,0.23,0.0,364.16,4567004.31,0.07
89,6.16,18.0,30704.81,2306.87,8769.51,256.2,256.2,789.25,288.0,673.4,2.53,1.0,13.36,1.03,36.29,0.72,0.95,0.98,311.96,288.0,50.4,0.0,0.26,0.0,512.4,7417510.22,0.07
90,7.18,21.0,41436.83,2700.99,9113.15,353.95,353.95,870.32,288.0,706.26,3.06,1.0,15.95,1.04,49.5,0.98,0.95,0.98,284.42,288.0,44.28,0.0,0.3,0.0,707.9,11720283.53,0.07
91,7.2,21.0,45843.44,2827.13,9043.05,391.67,391.67,906.57,288.0,716.2,3.27,1.0,16.87,1.04,54.65,1.12,0.95,0.98,277.24,288.0,42.45,0.0,0.31,0.0,783.34,13572242.04,0.07
92,6.2,18.0,42034.83,2631.6,8606.37,354.25,354.25,882.27,288.0,697.38,3.05,1.0,15.71,1.04,51.24,1.07,0.95,0.98,289.27,288.0,44.39,0.0,0.31,0.0,708.5,11583979.79,0.07
93,4.17,12.0,26296.77,2055.31,7770.17,207.6,207.6,766.04,288.0,643.53,2.28,1.0,11.85,1.03,32.95,0.72,0.95,0.98,335.98,288.0,54.31,0.0,0.26,0.0,415.2,5659894.83,0.07
94,3.14,9.0,15125.0,1638.09,7319.64,108.18,108.18,675.33,288.0,606.86,1.72,1.0,9.11,1.02,21.65,0.45,0.95,0.98,392.63,288.0,66.61,0.0,0.22,0.0,216.36,2594548.3,0.07
95,3.13,9.0,10597.15,1476.46,7329.44,71.49,71.49,632.22,288.0,595.58,1.5,1.0,8.08,1.02,15.55,0.31,0.95,0.98,421.48,288.0,73.71,0.0,0.2,0.0,142.98,1638473.36,0.07
96,4.15,12.0,15603.27,1658.63,7822.43,120.39,120.39,667.05,288.0,616.49,1.75,1.0,9.36,1.02,20.61,0.39,0.95,0.98,381.17,288.0,65.86,0.0,0.21,0.0,240.78,2710152.68,0.07
97,5.15,15.0,22368.42,1949.71,8343.34,182.06,182.06,721.17,288.0,643.17,2.1,1.0,11.17,1.03,26.74,0.53,0.95,0.98,343.41,288.0,57.58,0.0,0.23,0.0,364.12,4567030.86,0.07
98,6.16,18.0,30704.85,2306.87,8770.44,256.14,256.14,788.22,288.0,673.21,2.53,1.0,13.35,1.03,36.22,0.72,0.95,0.98,311.55,288.0,50.43,0.0,0.26,0.0,512.28,7417519.89,0.07
99,7.18,21.0,41436.84,2700.98,9113.82,353.86,353.86,869.29,288.0,706.08,3.06,1.0,15.93,1.04,49.43,0.98,0.95,0.98,284.08,288.0,44.32,0.0,0.3,0.0,707.72,11720242.96,0.07
100,7.2,21.0,45957.11,2824.69,9042.38,391.45,391.45,909.25,288.0,716.37,3.27,1.0,16.87,1.04,55.14,1.12,0.95,0.98,278.06,288.0,42.46,0.0,0.31,0.0,782.9,13594151.98,0.07
101,6.2,18.0,42249.96,2626.55,8604.56,353.88,353.88,888.39,288.0,697.85,3.06,1.0,15.73,1.04,52.36,1.08,0.95,0.99,290.32,288.0,44.36,0.0,0.31,0.0,707.76,11620922.17,0.06
102,4.17,12.0,26613.18,2047.66,7767.46,207.08,207.08,775.58,288.0,644.3,2.28,1.0,11.88,1.03,34.69,0.73,0.95,0.99,340.17,288.0,54.23,0.0,0.26,0.0,414.16,5706676.26,0.06
103,3.14,9.0,15315.55,1632.72,7318.7,107.79,107.79,680.93,288.0,607.24,1.72,1.0,9.13,1.02,22.88,0.46,0.95,0.99,395.89,288.0,66.51,0.0,0.22,0.0,215.58,2618622.7,0.06
104,3.13,9.0,10686.31,1473.69,7330.03,71.27,71.27,634.44,288.0,595.66,1.5,1.0,8.08,1.02,16.17,0.31,0.95,0.99,422.96,288.0,73.72,0.0,0.2,0.0,142.54,1649158.98,0.06
105,4.15,12.0,15591.16,1658.47,7824.19,120.36,120.36,665.86,288.0,616.28,1.75,1.0,9.35,1.02,20.61,0.39,0.95,0.99,380.49,288.0,65.91,0.0,0.21,0.0,240.72,2707788.04,0.06
106,5.15,15.0,22368.54,1949.7,8344.67,182.07,182.07,720.19,288.0,642.99,2.1,1.0,11.16,1.03,26.68,0.53,0.95,0.99,342.95,288.0,57.62,0.0,0.23,0.0,364.14,4567031.93,0.06
107,6.16,18.0,30704.9,2306.86,8771.37,256.18,256.18,787.2,288.0,673.02,2.53,1.0,13.34,1.03,36.15,0.72,0.95,0.99,311.15,288.0,50.45,0.0,0.26,0.0,512.36,7417499.81,0.06
108,7.18,21.0,41436.81,2700.98,9114.48,353.91,353.91,868.27,288.0,705.91,3.06,1.0,15.92,1.04,49.36,0.98,0.95,0.99,283.75,288.0,44.34,0.0,0.3,0.0,707.82,11720234.48,0.06
109,7.2,21.0,45971.66,2823.4,9042.37,391.41,391.41,909.01,288.0,716.23,3.27,1.0,16.85,1.04,55.8,1.12,0.95,0.99,277.98,288.0,42.51,0.0,0.31,0.0,782.82,13592245.64,0.06
110,6.2,18.0,42254.62,2623.7,8604.01,353.69,353.69,888.38,288.0,697.64,3.06,1.0,15.7,1.04,53.85,1.07,0.95,0.99,290.32,288.0,44.44,0.0,0.3,0.0,707.38,11609592.97,0.06
111,4.17,12.0,26607.92,2043.23,7766.61,206.75,206.75,775.78,288.0,644.02,2.28,1.0,11.85,1.03,37.01,0.73,0.95,0.99,340.25,288.0,54.35,0.0,0.26,0.0,413.5,5693204.72,0.06
112,3.14,9.0,15271.18,1629.29,7318.86,107.49,107.49,679.85,288.0,606.84,1.72,1.0,9.1,1.02,24.6,0.46,0.95,0.99,395.26,288.0,66.69,0.0,0.22,0.0,214.98,2605551.17,0.06
113,3.13,9.0,10651.88,1471.84,7331.14,71.11,71.11,633.18,288.0,595.33,1.5,1.0,8.07,1.02,17.06,0.31,0.95,0.99,422.12,288.0,73.77,0.0,0.2,0.0,142.22,1641781.98,0.06
114,4.15,12.0,15566.72,1658.18,7825.87,120.32,120.32,664.38,288.0,616.01,1.75,1.0,9.33,1.02,20.67,0.39,0.95,0.99,379.65,288.0,66.02,0.0,0.21,0.0,240.64,2703070.7,0.06
115,5.15,15.0,22368.59,1949.7,8346.0,182.08,182.08,719.23,288.0,642.8,2.1,1.0,11.15,1.03,26.63,0.53,0.95,0.99,342.49,288.0,57.65,0.0,0.23,0.0,364.16,4567042.14,0.06
116,6.16,18.0,30704.9,2306.86,8772.29,256.18,256.18,786.17,288.0,672.84,2.53,1.0,13.32,1.03,36.08,0.72,0.95,0.99,310.74,288.0,50.51,0.0,0.26,0.0,512.36,7417499.81,0.06
117,7.18,21.0,41436.83,2700.98,9115.15,353.94,353.94,867.25,288.0,705.73,3.06,1.0,15.9,1.04,49.29,0.98,0.95,0.99,283.42,288.0,44.39,0.0,0.3,0.0,707.88,11720240.13,0.06
118,7.2,21.0,45900.01,2820.11,9041.04,391.28,391.28,906.97,288.0,715.76,3.27,1.0,16.82,1.04,57.32,1.12,0.95,0.99,277.36,288.0,42.55,0.0,0.31,0.0,782.56,13555247.35,0.06
